from,to,value
ch0corigin4l,convomfs,1
Rizmaya__,mucini48,1
VIVAcoid,gusti_prabu2810,1
Mjohnsamosir,tvOneNews,1
HIrvansyah,knpiharis,1
Mjohnsamosir,Rizmaya__,1
CNNIndonesia,GustyFierman,1
Rawit234234,SSudiharjo,1
FWBESS,sevnosans,1
elditweet,tvOneNews,1
SAKHAMICHI,korantempo,1
detikcom,monasammy,1
ngomongapaaja78,tvOneNews,1
Ibnxine,__SudutPandang,1
democrazymedia,donyardi13,1
Abdillahbela,morningwoodist,1
Fusianto,resolusi1000,1
boyke_bond_Jr,detikcom,1
rajaihuta,tvOneNews,1
askDika,mbkelana,1
Fusianto,detikcom,1
Zaindamai,detikcom,1
SamboFerdy,detikcom,2
richard_whn,tvOneNews,1
Alfatih_V,Alfatih_V,2
KEGELAP4N,yaoirouge,1
Trisnan76523395,democrazymedia,1
Mukidioon2,SurvivalBelera1,1
moesa_jp02,moesa_jp02,1
IbnuNasir8,jayapuraupdate,1
Abah_dink,wasssup_ay,1
Msbrow8,dindinrasdi,1
Jonsontonga,Ruslam242,1
agelmeip,slfnzr,1
literasi_k,tvOneNews,1
OnelRamadani,OposisiCerdas,1
Mangachuy,NalarLogic,1
KompasTV,PiusSinurat,1
hipohan,spillproduk,1
Dorraemon_,Ruwahel,1
MadesonWatts,lmonart_,1
OposisiCerdas,SarwediEdi6,1
SonoraFM92,SonoraFM92,1
txtdrberseragam,wibijavachip,1
W217286065,imriatitriyanto,1
SNauvill,zoelfick,1
malakmalakmal,wahabi92013848,1
Ruslam242,rherma2000,1
Fahrihamzah,MahdinJr1,1
malakmalakmal,pancimandemokrt,1
SiapaAk13719019,detikcom,1
KompasTV,jgzepp,1
fullmoonfolks,hutauruk_alex,1
BagusDaboel69,lordoflots,1
Prasetyo9Hh,caul_tanjung,1
hardye76,sudadmono,1
alphonselaporte,dediarifch,1
A9niniBaengdeta,A9niniBaengdeta,1
kemitris,myrazra,1
Rizmaya__,fegarif,1
Wingky21439027,Wingky21439027,1
imotone,voidotid,1
fnf____,indocringe_,1
Ruslam242,ayahValent,1
ACHMADR89870336,Msbrow8,1
SugiKawuloAlit,UyokBack,1
narendraasha_,raflesls,1
ant7_Phoong,ruhutsitompul,1
Askrlfess,wonpealates,1
adhy_gra,voidotid,1
democrazymedia,elditweet,1
Riris_adnanArmy,ceritatehfidy,1
Rizmaya__,SalimHa88650732,1
LalaWiana,Srikandi_sunda,1
KompasTV,MutiaraSendhyR,1
cobeh2021,xifenghoetang,1
anbusiber,inilahdotcom,1
CrushHopeless1,cybsquad_,1
roygromiko,tvOneNews,1
RatuBuay,Yulia_NS79,1
CNNIndonesia,kemitris,1
YovieDjody18,knpiharis,1
IRistopo,detikcom,3
Adrian_HeriF,Adrian_HeriF,1
auraa1996,refalhady,1
hindseee,wahilangotak,1
jaecap7l5,oxhaewon,1
cybsquad_,dedirahimuddin,1
liputan6dotcom,marpaung913,1
marpaung913,mediaindonesia,1
ArdinalRais,ArdinalRais,1
antaranews,marpaung913,1
ainurohman,lovebylibra,1
sebelasribuT,thepatriot2019,1
ahmad_silaa,msaid_didu,1
Rizmaya__,marpaung913,1
harutotify,ssefnum,1
Dennysiregar7,GhufranDjeri,1
SammiSoh,SammiSoh,1
RichardVanGobe1,_ekokuntadhi,1
badrus445544,detikcom,1
Srikandi_sunda,Srikandi_sunda,4
inoceandsy,kdrama_menfess,1
Nugroholobster,OposisiCerdas,2
Trian148,fauziislan,1
alfi_ummuAyyash,msaid_didu,1
ispeispeanjime,naabilabdun,1
kindsunbear,txtdarigajelas,1
hellodeka,mashay____,1
indocringe_,yaelahyann_,1
O_Ojeaavie,convomfs,1
Askrlfess,RakyatKetjil_12,1
RakyatKetjil_12,hourlysappy,1
ZAEffendy,ZAEffendy,1
AnasUbaidilla11,AnasUbaidilla11,1
prastyo_adhika,voidotid,1
MerdekaRakyan,MerdekaRakyan,1
CNNIndonesia,dodol53235469,1
hellodeka,mojokdotco,1
Mi73Hel,tvOneNews,1
ollycta,tanyakanrl,1
ainurohman,anggi_ahmad,1
ainurohman,fendikafirza,1
GhibranAkbar1,keuangannews_id,1
Msbrow8,rgbzrzm,1
Ruslam242,WulungMas,1
GunRomli,aldy_dabuan,1
gberrboy_id,gberrboy_id,3
detikcom,zaharoh3,1
pedragim,tvOneNews,1
